Index,DLL Path,Suspicious,Signature Info
96,C:\Windows\System32\NotificationPlatformComponent.dll,No,Not checked
97,C:\Windows\System32\AppContracts.dll,No,Not checked
98,C:\Windows\System32\windows.system.launcher.dll,No,Not checked
99,C:\Windows\System32\Windows.Storage.dll,No,Not checked
100,C:\WINDOWS\system32\PackageStateChangeHandler.dll,No,Not checked
101,C:\Windows\System32\UiaManager.dll,No,Not checked
102,C:\WINDOWS\system32\ShareHost.dll,No,Not checked
103,C:\WINDOWS\system32\twinui.appcore.dll,No,Not checked
104,C:\Windows\System32\AudioSes.dll,No,Not checked
105,C:\Windows\System32\daxexec.dll,No,Not checked
106,C:\Windows\System32\container.dll,No,Not checked
107,C:\WINDOWS\system32\mssrch.dll,No,Not checked
108,C:\WINDOWS\system32\bcrypt.dll,No,Not checked
109,C:\WINDOWS\system32\SearchIndexerCore.dll,No,Not checked
110,C:\WINDOWS\System32\CRYPT32.dll,No,Not checked
111,C:\WINDOWS\system32\CoreShellExtFramework.dll,No,Not checked
112,C:\WINDOWS\system32\twinui.pcshell.dll,No,Not checked
113,C:\WINDOWS\system32\execmodelproxy.dll,No,Not checked
114,C:\Windows\System32\InputHost.dll,No,Not checked
115,C:\WINDOWS\system32\activationclient.dll,No,Not checked
116,C:\WINDOWS\system32\omadmapi.dll,No,Not checked
117,C:\WINDOWS\SYSTEM32\policymanager.dll,No,Not checked
118,C:\WINDOWS\system32\windowsudk.shellcommon.dll,No,Not checked
119,C:\Windows\System32\Windows.Management.Workplace.dll,No,Not checked
120,C:\Windows\System32\DMCmnUtils.dll,No,Not checked
121,C:\WINDOWS\SYSTEM32\gpapi.dll,No,Not checked
122,C:\WINDOWS\SYSTEM32\windows.staterepositoryclient.dll,No,Not checked
123,C:\WINDOWS\system32\AppXDeploymentClient.dll,No,Not checked
124,C:\WINDOWS\System32\ole32.dll,No,Not checked
125,C:\WINDOWS\SYSTEM32\capauthz.dll,No,Not checked
126,C:\Windows\System32\Windows.StateRepositoryPS.dll,No,Not checked
127,C:\WINDOWS\SYSTEM32\licensemanagerapi.dll,No,Not checked
128,C:\Windows\System32\PROPSYS.dll,No,Not checked
129,C:\Windows\System32\profapi.dll,No,Not checked
130,C:\Windows\System32\CFGMGR32.dll,No,Not checked
131,C:\WINDOWS\SYSTEM32\apphelp.dll,No,Not checked
132,C:\WINDOWS\System32\SHELL32.dll,No,Not checked
133,C:\Windows\System32\edputil.dll,No,Not checked
134,C:\Windows\System32\urlmon.dll,No,Not checked
135,C:\Windows\System32\iertutil.dll,No,Not checked
136,C:\Windows\System32\netutils.dll,No,Not checked
137,C:\Windows\System32\srvcli.dll,No,Not checked
138,C:\Windows\System32\MPR.dll,No,Not checked
139,C:\WINDOWS\SYSTEM32\mrmcorer.dll,No,Not checked
140,C:\WINDOWS\SYSTEM32\bcp47mrm.dll,No,Not checked
141,C:\WINDOWS\SYSTEM32\pcacli.dll,No,Not checked
142,C:\WINDOWS\System32\sfc_os.dll,No,Not checked
143,C:\WINDOWS\system32\ServicingCommon.dll,No,Not checked
144,C:\WINDOWS\System32\SETUPAPI.dll,No,Not checked
145,C:\WINDOWS\SYSTEM32\ntdll.dll,No,Not checked
146,C:\WINDOWS\System32\KERNELBASE.dll,No,Not checked
147,C:\WINDOWS\System32\ucrtbase.dll,No,Not checked
148,C:\WINDOWS\System32\combase.dll,No,Not checked
149,C:\WINDOWS\System32\RPCRT4.dll,No,Not checked
150,C:\WINDOWS\SYSTEM32\kernel.appcore.dll,No,Not checked
151,C:\WINDOWS\System32\msvcrt.dll,No,Not checked
152,C:\WINDOWS\System32\bcryptPrimitives.dll,No,Not checked
153,C:\WINDOWS\System32\user32.dll,No,Not checked
154,C:\WINDOWS\System32\win32u.dll,No,Not checked
155,C:\WINDOWS\System32\GDI32.dll,No,Not checked
156,C:\WINDOWS\System32\gdi32full.dll,No,Not checked
157,C:\WINDOWS\System32\msvcp_win.dll,No,Not checked
158,C:\WINDOWS\System32\sechost.dll,No,Not checked
159,c:\windows\system32\cdpusersvc.dll,No,Not checked
160,C:\WINDOWS\System32\OLEAUT32.dll,No,Not checked
161,C:\WINDOWS\SYSTEM32\powrprof.dll,No,Not checked
162,c:\windows\system32\cdp.dll,No,Not checked
163,C:\WINDOWS\SYSTEM32\cfgmgr32.dll,No,Not checked
164,C:\WINDOWS\SYSTEM32\UMPDC.dll,No,Not checked
165,c:\windows\system32\iertutil.dll,No,Not checked
166,C:\WINDOWS\System32\advapi32.dll,No,Not checked
167,c:\windows\system32\srvcli.dll,No,Not checked
168,c:\windows\system32\netutils.dll,No,Not checked
169,C:\WINDOWS\SYSTEM32\policymanager.dll,No,Not checked
170,c:\windows\system32\msvcp110_win.dll,No,Not checked
171,C:\WINDOWS\SYSTEM32\gamestreamingext.dll,No,Not checked
172,c:\windows\system32\bcrypt.dll,No,Not checked
173,C:\WINDOWS\System32\clbcatq.dll,No,Not checked
174,C:\Windows\System32\OneCoreCommonProxyStub.dll,No,Not checked
175,C:\Windows\System32\Windows.Security.Authentication.Web.Core.dll,No,Not checked
176,C:\WINDOWS\System32\wintypes.dll,No,Not checked
177,C:\WINDOWS\SYSTEM32\usermgrcli.dll,No,Not checked
178,C:\Windows\System32\vaultcli.dll,No,Not checked
179,C:\Windows\System32\usermgrproxy.dll,No,Not checked
180,C:\WINDOWS\System32\SspiCli.dll,No,Not checked
181,C:\WINDOWS\System32\shcore.dll,No,Not checked
182,C:\WINDOWS\System32\CRYPT32.dll,No,Not checked
183,C:\WINDOWS\System32\MSASN1.dll,No,Not checked
184,c:\windows\system32\ncrypt.dll,No,Not checked
185,c:\windows\system32\NTASN1.dll,No,Not checked
186,C:\WINDOWS\system32\ncryptprov.dll,No,Not checked
187,C:\WINDOWS\system32\CRYPTBASE.dll,No,Not checked
188,C:\Windows\System32\Windows.Networking.Connectivity.dll,No,Not checked
189,C:\Windows\System32\twinapi.appcore.dll,No,Not checked
190,C:\WINDOWS\SYSTEM32\wlanapi.dll,No,Not checked
191,C:\WINDOWS\SYSTEM32\MobileNetworking.dll,No,Not checked
192,c:\windows\system32\WINHTTP.dll,No,Not checked
193,C:\WINDOWS\System32\WS2_32.dll,No,Not checked
194,C:\WINDOWS\system32\mswsock.dll,No,Not checked
195,C:\WINDOWS\System32\NSI.dll,No,Not checked
196,c:\windows\system32\winsqlite3.dll,No,Not checked
197,C:\Windows\System32\USERENV.dll,No,Not checked
198,C:\Windows\System32\profapi.dll,No,Not checked
199,C:\WINDOWS\System32\DPAPI.dll,No,Not checked
200,C:\WINDOWS\SYSTEM32\rmclient.dll,No,Not checked
201,C:\WINDOWS\SYSTEM32\webio.dll,No,Not checked
202,C:\WINDOWS\SYSTEM32\DNSAPI.dll,No,Not checked
203,C:\Windows\System32\rasadhlp.dll,No,Not checked
204,C:\Windows\System32\Windows.CloudStore.dll,No,Not checked
205,C:\WINDOWS\System32\fwpuclnt.dll,No,Not checked
206,C:\Windows\System32\UnifiedConsent.dll,No,Not checked
207,C:\WINDOWS\SYSTEM32\ntmarta.dll,No,Not checked
208,C:\WINDOWS\system32\ncryptsslp.dll,No,Not checked
209,C:\WINDOWS\System32\CRYPTSP.dll,No,Not checked
210,C:\WINDOWS\system32\rsaenh.dll,No,Not checked
211,C:\Windows\System32\Windows.Devices.Radios.dll,No,Not checked
212,C:\WINDOWS\system32\BthRadioMedia.dll,No,Not checked
213,C:\WINDOWS\system32\DEVOBJ.dll,No,Not checked
214,C:\WINDOWS\system32\WlanRadioManager.dll,No,Not checked
215,C:\Windows\System32\PROPSYS.dll,No,Not checked
216,C:\WINDOWS\SYSTEM32\ntdll.dll,No,Not checked
217,C:\WINDOWS\System32\KERNELBASE.dll,No,Not checked
218,C:\WINDOWS\System32\ucrtbase.dll,No,Not checked
219,C:\WINDOWS\System32\combase.dll,No,Not checked
220,C:\WINDOWS\System32\RPCRT4.dll,No,Not checked
221,C:\WINDOWS\SYSTEM32\kernel.appcore.dll,No,Not checked
222,C:\WINDOWS\System32\msvcrt.dll,No,Not checked
223,C:\WINDOWS\System32\bcryptPrimitives.dll,No,Not checked
224,C:\WINDOWS\System32\user32.dll,No,Not checked
225,C:\WINDOWS\System32\win32u.dll,No,Not checked
226,C:\WINDOWS\System32\GDI32.dll,No,Not checked
227,C:\WINDOWS\System32\gdi32full.dll,No,Not checked
228,C:\WINDOWS\System32\msvcp_win.dll,No,Not checked
229,C:\WINDOWS\System32\sechost.dll,No,Not checked
230,c:\windows\system32\webthreatdefusersvc.dll,No,Not checked
231,C:\WINDOWS\System32\clbcatq.dll,No,Not checked
232,C:\Windows\System32\ThreatResponseEngine.dll,No,Not checked
233,C:\Windows\System32\usermgrproxy.dll,No,Not checked
234,C:\Windows\System32\OneCoreCommonProxyStub.dll,No,Not checked
235,C:\WINDOWS\System32\wintypes.dll,No,Not checked
236,C:\Windows\System32\vaultcli.dll,No,Not checked
237,C:\WINDOWS\SYSTEM32\usermgrcli.dll,No,Not checked
238,C:\WINDOWS\SYSTEM32\ntdll.dll,No,Not checked
239,C:\WINDOWS\System32\KERNELBASE.dll,No,Not checked
240,C:\WINDOWS\System32\ucrtbase.dll,No,Not checked
241,C:\WINDOWS\System32\combase.dll,No,Not checked
242,C:\WINDOWS\System32\RPCRT4.dll,No,Not checked
243,C:\WINDOWS\SYSTEM32\kernel.appcore.dll,No,Not checked
244,C:\WINDOWS\System32\msvcrt.dll,No,Not checked
245,C:\WINDOWS\System32\bcryptPrimitives.dll,No,Not checked
246,C:\WINDOWS\System32\user32.dll,No,Not checked
247,C:\WINDOWS\System32\win32u.dll,No,Not checked
248,C:\WINDOWS\System32\GDI32.dll,No,Not checked
249,C:\WINDOWS\System32\gdi32full.dll,No,Not checked
250,C:\WINDOWS\System32\msvcp_win.dll,No,Not checked
251,C:\WINDOWS\System32\sechost.dll,No,Not checked
252,c:\windows\system32\wpnuserservice.dll,No,Not checked
253,c:\windows\system32\iertutil.dll,No,Not checked
254,C:\WINDOWS\System32\advapi32.dll,No,Not checked
255,c:\windows\system32\srvcli.dll,No,Not checked
256,c:\windows\system32\netutils.dll,No,Not checked
257,C:\WINDOWS\System32\clbcatq.dll,No,Not checked
258,C:\WINDOWS\System32\wpncore.dll,No,Not checked
259,C:\WINDOWS\System32\wintypes.dll,No,Not checked
260,C:\Windows\System32\NotificationController.dll,No,Not checked
261,C:\WINDOWS\System32\OLEAUT32.dll,No,Not checked
262,C:\WINDOWS\System32\shcore.dll,No,Not checked
263,C:\Windows\System32\RMCLIENT.dll,No,Not checked
264,C:\WINDOWS\SYSTEM32\powrprof.dll,No,Not checked
265,C:\Windows\System32\UMPDC.dll,No,Not checked
266,C:\WINDOWS\SYSTEM32\usermgrcli.dll,No,Not checked
267,C:\Windows\System32\OneCoreUAPCommonProxyStub.dll,No,Not checked
268,C:\Windows\System32\QuietHours.dll,No,Not checked
269,C:\WINDOWS\SYSTEM32\windows.storage.dll,No,Not checked
270,C:\WINDOWS\System32\shlwapi.dll,No,Not checked
271,C:\WINDOWS\SYSTEM32\profapi.dll,No,Not checked
272,C:\WINDOWS\SYSTEM32\winsta.dll,No,Not checked
273,C:\WINDOWS\SYSTEM32\policymanager.dll,No,Not checked
274,C:\WINDOWS\System32\msvcp110_win.dll,No,Not checked
275,C:\WINDOWS\System32\winsqlite3.dll,No,Not checked
276,C:\WINDOWS\SYSTEM32\twinapi.appcore.dll,No,Not checked
277,C:\Windows\System32\execmodelclient.dll,No,Not checked
278,C:\Windows\System32\OneCoreCommonProxyStub.dll,No,Not checked
279,C:\WINDOWS\system32\execmodelproxy.dll,No,Not checked
280,C:\WINDOWS\system32\uxtheme.dll,No,Not checked
281,C:\WINDOWS\System32\MSCTF.dll,No,Not checked
282,C:\WINDOWS\SYSTEM32\wtsapi32.dll,No,Not checked
283,C:\Windows\System32\Windows.Networking.Connectivity.dll,No,Not checked
284,C:\Windows\System32\TileDataRepository.dll,No,Not checked
285,C:\Windows\System32\Windows.StateRepository.dll,No,Not checked
286,C:\Windows\System32\StateRepository.Core.dll,No,Not checked
287,C:\Windows\System32\Windows.StateRepositoryPS.dll,No,Not checked
288,C:\WINDOWS\System32\npmproxy.dll,No,Not checked
289,C:\WINDOWS\SYSTEM32\wlanapi.dll,No,Not checked
290,C:\WINDOWS\SYSTEM32\MobileNetworking.dll,No,Not checked
291,C:\Windows\System32\Windows.StateRepositoryClient.dll,No,Not checked
292,C:\Windows\System32\appresolver.dll,No,Not checked
293,C:\Windows\System32\USERENV.dll,No,Not checked
